,HR
1126,80.58
1127,80.73
1128,80.92
1129,81.12
1130,81.33
1131,81.58
1132,81.87
1133,82.15
1134,82.42
1135,82.65
1136,82.82
1137,82.95
1138,83.03
1139,83.08
1140,83.1
1141,83.1
1142,83.13
1143,83.2
1144,83.27
1145,83.27
1146,83.27
1147,83.23
1148,83.17
1149,83.08
1150,82.97
1151,82.8
1152,82.6
1153,82.53
1154,82.45
1155,82.48
1156,82.55
1157,82.6
1158,82.6
1159,82.62
1160,82.63
1161,82.67
1162,82.67
1163,82.68
1164,82.67
1165,82.63
1166,82.6
1167,82.55
1168,82.47
1169,82.38
1170,82.33
1171,82.27
1172,82.17
1173,82.05
1174,81.97
1175,81.9
1176,81.87
1177,81.83
1178,81.83
1179,81.85
1180,81.88
1181,81.93
1182,81.97
1183,82.0
1184,82.05
1185,82.08
1186,82.12
1187,82.08
1188,82.08
1189,82.08
1190,82.07
1191,82.02
1192,81.98
1193,81.98
1194,82.02
1195,82.2
1196,82.42
1197,82.62
1198,82.83
1199,83.05
1200,83.28
1201,83.52
1202,83.68
1203,83.78
1204,83.83
1205,83.97
1206,84.08
1207,84.17
1208,84.25
1209,84.37
1210,84.52
1211,84.7
1212,84.88
1213,84.95
1214,85.0
1215,84.92
1216,84.82
1217,84.73
1218,84.67
1219,84.62
1220,84.68
1221,84.77
1222,84.87
1223,84.98
1224,85.08
1225,85.2
1226,85.28
1227,85.47
1228,85.8
1229,85.97
1230,86.13
1231,86.32
1232,86.47
1233,86.6
1234,86.63
1235,86.68
1236,86.72
1237,86.75
1238,86.47
1239,86.22
1240,86.02
1241,85.92
1242,85.78
1243,85.65
1244,85.45
1245,85.0
1246,84.5
1247,84.12
1248,83.68
1249,83.23
1250,82.8
1251,82.4
1252,81.97
1253,81.5
1254,81.05
1255,80.55
1256,80.02
1257,79.55
1258,79.12
1259,78.75
1260,78.38
1261,77.97
1262,77.62
1263,77.28
1264,76.98
1265,76.67
1266,76.35
1267,76.05
1268,75.75
1269,75.47
1270,75.15
1271,74.8
1272,74.5
1273,74.18
1274,73.88
1275,73.58
1276,73.27
1277,73.05
1278,72.78
1279,72.43
1280,72.13
1281,71.85
1282,71.57
1283,71.28
1284,71.07
1285,70.85
1286,70.68
1287,70.45
1288,70.15
1289,70.05
1290,69.93
1291,69.8
1292,69.67
1293,69.5
1294,69.32
1295,69.13
1296,68.95
1297,68.77
1298,68.88
1299,68.95
1300,68.98
1301,68.92
1302,68.88
1303,68.83
1304,68.83
1305,69.1
1306,69.35
1307,69.53
1308,69.68
1309,69.82
1310,69.97
1311,70.08
1312,70.25
1313,70.45
1314,70.58
1315,70.68
1316,70.85
1317,71.0
1318,71.12
1319,71.2
1320,71.28
1321,71.43
1322,71.57
1323,71.73
1324,71.9
1325,72.08
1326,72.3
1327,72.48
1328,72.67
1329,72.78
1330,72.9
1331,73.02
1332,73.1
1333,73.22
1334,73.38
1335,73.58
1336,73.8
1337,73.92
1338,74.12
1339,74.37
1340,74.4
1341,74.38
1342,74.33
1343,74.28
1344,74.18
1345,74.07
1346,73.92
1347,73.7
1348,73.42
