,HRV
480,294.9995368569352
481,295.12815059874555
482,296.0685335529213
483,296.037103166833
484,300.03391760563966
485,305.2456552923981
486,284.7879682319961
487,284.91162945095414
488,285.09957961795953
489,285.13378893996446
490,285.4682936570507
491,285.4767171802609
492,285.5015326848548
493,285.4767171802609
494,285.4767171802609
495,285.4682936570507
496,285.4033001150203
497,285.36306232196694
498,285.33800874119703
499,285.20995568896194
500,285.17604347014463
501,287.1377850819358
502,256.0399793092234
503,384.62200649798933
504,384.55296553533026
505,384.55296553533026
506,384.4656287257259
507,384.1321573453808
508,383.7911507005936
509,383.7660710317063
510,383.7723877896965
511,383.7723877896965
512,383.72285434820486
513,383.6311859407193
514,383.6620832750037
515,383.71177050271035
516,383.7369194203322
517,383.8280973151676
518,383.8468081450072
519,383.87514365742135
520,380.60182770613363
521,68.8204724873269
522,69.00807042334293
523,69.00807042334293
524,69.1776246998338
525,59.63141274657586
526,31.03068820587994
527,31.15309960877543
528,31.15309960877543
529,31.22585938716125
530,29.829902861988696
531,17.092802265162973
532,22.72222572389682
533,22.811861490571275
534,22.811861490571275
535,59.622735047235786
536,216.55508221570943
537,218.5831295530931
538,218.54401352689945
539,267.6000267962927
540,388.06245674709885
541,387.0890335077293
542,385.93985390418436
543,385.12854639277793
544,385.0022946101194
545,393.02288940218597
546,392.9834475101532
547,394.4821091751943
548,394.4488340949073
549,394.3493632677736
550,394.40437925403717
551,394.40437925403717
552,394.40437925403717
553,395.048440388336
554,394.29281020645635
555,395.7735311647385
556,395.8014667431004
557,389.4162311032359
558,280.61735284471564
559,366.87137328218523
560,375.6379911441617
561,376.5499086314511
562,376.6953948719903
563,365.10072676030296
564,365.132648835854
565,357.60231655074654
566,357.62229135751943
567,357.681435891861
568,357.7080224220986
569,357.7080224220986
570,357.7080224220986
571,357.71471736199305
572,357.7080224220986
573,357.70132509651484
574,357.70132509651484
575,358.2579969971991
576,358.2393527894944
577,239.20716430285057
578,17.211287858251758
579,246.68812222317345
580,246.5121330406617
581,272.97198128407507
582,272.69323963233023
583,272.5450608106263
584,272.32998987812687
585,271.7280380903241
586,270.9583012821825
587,270.266338820528
588,269.87903850890183
589,269.0346492338795
590,268.93407294312146
591,274.60260339808053
592,273.4918172857903
593,272.48550331978004
594,272.48550331978004
595,272.48550331978004
596,272.3541789325974
597,272.3541789325974
598,342.3999622278414
599,337.8338809706737
600,337.8338809706737
601,336.6446700431659
602,338.42289590222464
603,339.01516999545004
604,340.46186229685145
605,341.30318644357106
606,341.7044853696741
607,341.00339623597125
608,341.12409609021273
609,339.74072716366237
610,341.5936610327864
611,342.3879213464325
612,342.3294977629253
613,342.29390632227626
614,342.3879213464325
615,328.7769263951928
616,224.49780750865355
617,207.72602804032084
618,207.38399810678882
619,207.57324297759948
620,138.1461288484656
621,137.0266112272233
622,137.10046705329378
623,137.1733128075785
624,137.24239559987714
625,157.96126461282537
626,157.8335122392327
627,151.5292568385756
