,HR
875,80.18
876,80.37
877,80.6
878,80.88
879,81.1
880,81.28
881,81.5
882,81.67
883,81.87
884,82.03
885,82.22
886,82.47
887,82.52
888,82.57
889,82.58
890,82.55
891,82.5
892,82.45
893,82.38
894,82.3
895,82.13
896,82.0
897,81.87
898,81.78
899,81.72
900,81.67
901,81.58
902,81.47
903,81.35
904,81.23
905,81.1
906,80.98
907,80.85
908,80.72
909,80.67
910,80.63
911,80.62
912,80.67
913,80.68
914,80.67
915,80.62
916,80.6
917,80.57
918,80.48
919,80.38
920,80.25
921,80.08
922,79.9
923,79.72
924,79.52
925,79.23
926,78.95
927,78.68
928,78.42
929,78.08
930,77.73
931,77.32
932,76.97
933,76.6
934,76.25
935,75.88
936,75.62
937,75.32
938,75.0
939,74.72
940,74.47
941,74.2
942,73.98
943,73.75
944,73.52
945,73.28
946,72.98
947,72.9
948,72.83
949,72.8
950,72.8
951,72.82
952,72.85
953,72.9
954,72.95
955,72.98
956,73.0
957,73.05
958,73.1
959,73.2
960,73.33
961,73.52
962,73.72
963,73.93
964,74.17
965,74.43
966,74.7
967,74.97
968,75.25
969,75.45
970,75.65
971,75.85
972,75.98
973,76.1
974,76.23
975,76.37
976,76.43
977,76.47
978,76.48
979,76.47
980,76.47
981,76.45
982,76.43
983,76.4
984,76.37
985,76.42
986,76.45
987,76.5
988,76.57
989,76.65
990,76.73
991,76.8
992,76.87
993,76.92
994,76.97
995,77.08
996,77.17
997,77.25
998,77.35
999,77.48
1000,77.62
1001,77.72
1002,77.83
1003,77.95
1004,78.07
1005,78.15
1006,78.22
1007,78.27
1008,78.32
1009,78.38
1010,78.43
1011,78.47
1012,78.53
1013,78.58
1014,78.65
1015,78.73
1016,78.83
1017,78.92
1018,79.0
1019,79.05
1020,79.02
1021,78.95
1022,78.9
1023,78.83
1024,78.77
1025,78.7
1026,78.67
1027,78.67
1028,78.68
1029,78.73
1030,78.75
1031,78.75
1032,78.73
1033,78.73
1034,78.73
1035,78.7
1036,78.65
1037,78.6
1038,78.57
1039,78.57
1040,78.53
1041,78.52
1042,78.52
1043,78.53
1044,78.55
1045,78.57
1046,78.58
1047,78.62
1048,78.67
1049,78.72
1050,78.78
1051,78.88
1052,79.03
1053,79.17
1054,79.3
1055,79.48
1056,79.67
1057,79.92
1058,80.12
1059,80.32
1060,80.53
1061,80.77
1062,81.02
1063,81.28
1064,81.55
1065,81.82
1066,82.08
1067,82.37
1068,82.67
1069,82.93
1070,83.23
1071,83.48
1072,83.72
1073,83.93
1074,84.15
1075,84.43
1076,84.7
1077,85.03
1078,85.35
1079,85.7
1080,86.05
1081,86.3
1082,86.55
1083,86.87
1084,87.18
1085,87.45
1086,87.53
1087,87.63
1088,87.72
1089,87.77
1090,87.83
1091,87.9
1092,87.98
1093,88.1
1094,88.22
1095,88.33
1096,88.5
1097,88.8
1098,89.13
1099,89.47
1100,89.82
1101,90.13
1102,90.43
1103,90.58
1104,90.7
1105,90.78
1106,90.8
1107,90.68
1108,90.5
1109,90.35
1110,90.23
1111,90.13
1112,89.88
1113,89.67
1114,89.5
1115,89.27
1116,89.08
1117,88.97
1118,88.88
1119,88.78
1120,88.65
1121,88.53
1122,88.38
1123,88.2
1124,88.0
1125,87.78
1126,87.55
1127,87.3
1128,87.02
1129,86.72
1130,86.38
1131,86.12
1132,85.83
1133,85.57
1134,85.3
1135,84.97
1136,84.72
1137,84.37
1138,84.0
1139,83.57
1140,83.13
1141,82.8
1142,82.43
1143,82.0
1144,81.58
1145,81.2
1146,80.97
1147,80.75
1148,80.53
1149,80.37
1150,80.18
1151,79.97
1152,79.72
1153,79.45
1154,79.13
1155,78.85
1156,78.55
1157,78.17
1158,77.77
1159,77.4
1160,77.07
1161,76.78
1162,76.52
1163,76.4
1164,76.32
1165,76.27
1166,76.28
1167,76.42
1168,76.6
1169,76.73
1170,76.82
1171,76.87
1172,77.0
1173,77.08
1174,77.1
1175,77.1
1176,77.05
1177,76.87
1178,76.67
1179,76.45
1180,76.23
1181,76.0
1182,75.77
1183,75.55
1184,75.37
1185,75.22
1186,75.12
1187,75.02
1188,74.93
1189,74.88
1190,74.87
1191,74.87
1192,74.87
1193,74.9
1194,74.93
1195,74.97
1196,74.93
1197,74.9
1198,74.87
1199,74.88
1200,74.88
1201,74.88
1202,74.92
1203,74.97
1204,74.97
1205,74.97
1206,75.03
1207,75.05
1208,75.07
1209,75.05
1210,75.05
1211,75.03
1212,75.05
1213,75.12
1214,75.2
1215,75.27
1216,75.38
1217,75.5
1218,75.63
1219,75.77
1220,75.9
1221,76.02
1222,76.13
1223,76.25
1224,76.4
1225,76.55
1226,76.72
1227,76.92
1228,77.12
1229,77.33
1230,77.57
1231,77.83
1232,78.1
1233,78.4
1234,78.67
1235,78.97
1236,79.25
1237,79.52
1238,79.73
1239,79.97
1240,80.22
1241,80.48
1242,80.75
1243,81.12
1244,81.42
1245,81.7
1246,81.95
1247,82.17
1248,82.37
1249,82.57
1250,82.72
1251,82.83
1252,82.97
1253,83.07
1254,83.15
1255,83.2
1256,83.22
1257,83.22
1258,83.23
1259,83.2
1260,83.18
1261,83.17
1262,83.15
1263,83.12
1264,83.12
1265,83.13
1266,83.07
1267,82.98
1268,82.9
1269,82.83
1270,82.77
1271,82.77
1272,82.78
1273,82.88
1274,83.02
1275,83.17
1276,83.22
1277,83.28
1278,83.33
1279,83.38
1280,83.4
1281,83.37
1282,83.35
1283,83.28
1284,83.18
1285,83.08
1286,82.9
1287,82.68
1288,82.45
1289,82.22
1290,81.98
1291,81.72
1292,81.47
1293,81.22
1294,81.0
1295,80.77
1296,80.52
1297,80.27
1298,80.05
1299,79.8
1300,79.42
1301,79.08
1302,78.75
1303,78.32
1304,77.93
1305,77.55
1306,77.18
1307,76.83
1308,76.48
1309,76.13
1310,75.82
1311,75.53
1312,75.25
1313,74.95
1314,74.63
1315,74.32
1316,74.0
1317,73.68
1318,73.37
1319,73.08
1320,72.82
1321,72.57
1322,72.33
1323,72.08
1324,71.82
1325,71.53
1326,71.25
1327,71.0
1328,70.75
1329,70.45
1330,70.13
1331,69.78
1332,69.43
1333,68.93
1334,68.43
1335,67.93
1336,67.48
1337,67.02
1338,66.58
1339,66.13
1340,65.72
1341,65.38
1342,65.03
1343,64.7
1344,64.37
1345,64.03
1346,63.75
1347,63.47
1348,63.2
1349,62.95
1350,62.73
1351,62.55
1352,62.38
1353,62.27
1354,62.15
1355,62.05
1356,61.98
1357,61.92
1358,61.87
1359,61.8
1360,61.83
1361,61.8
1362,61.77
1363,61.72
1364,61.68
1365,61.72
1366,61.78
1367,61.88
1368,62.0
1369,62.13
1370,62.28
1371,62.43
1372,62.57
1373,62.7
1374,62.82
1375,62.98
1376,63.18
1377,63.42
1378,63.65
1379,63.88
1380,64.12
1381,64.37
1382,64.6
1383,64.83
1384,65.07
1385,65.27
1386,65.47
1387,65.65
1388,65.85
1389,66.08
1390,66.33
1391,66.6
1392,66.88
1393,67.15
1394,67.43
1395,67.73
1396,68.07
1397,68.28
1398,68.5
1399,68.72
1400,68.92
1401,69.07
1402,69.2
1403,69.32
1404,69.42
1405,69.5
1406,69.58
1407,69.68
1408,69.82
1409,69.93
1410,70.03
1411,70.12
1412,70.17
1413,70.15
1414,70.13
1415,70.1
1416,70.07
1417,70.05
1418,70.03
1419,70.03
1420,70.03
1421,70.03
1422,70.03
1423,70.03
1424,70.02
1425,69.97
1426,69.9
1427,69.82
1428,69.72
1429,69.63
1430,69.43
1431,69.2
1432,68.97
1433,68.75
1434,68.57
1435,68.33
1436,68.1
1437,67.88
1438,67.72
1439,67.53
1440,67.38
1441,67.27
1442,67.15
1443,67.03
1444,66.92
1445,66.78
1446,66.65
1447,66.53
1448,66.38
1449,66.23
1450,66.07
1451,65.88
1452,65.65
1453,65.47
1454,65.25
1455,64.92
1456,64.53
1457,64.28
1458,64.0
1459,63.72
1460,63.4
1461,63.08
1462,63.0
1463,62.95
1464,62.93
1465,62.82
1466,62.68
1467,62.57
1468,62.45
1469,62.32
1470,62.15
1471,62.13
1472,62.08
1473,62.3
1474,62.48
1475,62.7
1476,62.9
1477,63.35
1478,63.22
1479,63.15
1480,63.12
1481,63.13
1482,63.08
1483,63.07
1484,63.02
1485,62.97
1486,62.92
1487,62.87
1488,62.83
1489,62.77
1490,62.78
1491,62.95
1492,63.1
1493,63.27
1494,63.48
1495,63.75
1496,64.0
1497,64.25
1498,64.45
1499,64.65
1500,64.82
1501,64.93
1502,65.05
1503,65.2
1504,65.38
1505,65.63
1506,65.92
1507,66.18
1508,66.5
1509,66.82
1510,67.13
1511,67.47
1512,67.82
1513,68.15
1514,68.5
1515,68.93
1516,69.38
1517,69.82
1518,70.28
1519,70.73
1520,71.15
1521,71.57
1522,71.77
1523,71.97
1524,72.15
