,HRV
289,75.72787699516613
290,75.77058311041212
291,75.51325504870154
292,75.51325504870154
293,75.47586725457377
294,75.00816015500884
295,25.906498843031525
296,23.69334639802177
297,23.69334639802177
298,120.77702948369404
299,120.70813599652672
300,168.090694957242
301,168.090694957242
302,174.90202728403688
303,244.69248930807566
304,259.65862825513426
305,259.31413305034727
306,259.29841839948443
307,588.537354106263
308,656.4025824549802
309,654.6351279619055
310,652.5347635599322
311,667.9133053299432
312,695.0184719351031
313,692.501370598398
314,690.3414964807503
315,691.8375603173012
316,691.993682514974
317,694.5618400355553
318,694.3678778070366
319,696.0439387663142
320,700.2525260975743
321,703.509296958459
322,703.6436265889314
323,703.6500885098362
324,634.8932365097291
325,563.3409219658813
326,563.027101886257
327,564.311065050504
328,513.1797852121472
329,169.31101302145538
330,144.1438680557337
331,113.96463040272243
332,114.3759556821111
333,149.95971938643905
334,230.4713253018983
335,310.7033282795927
336,310.48360901688625
337,309.663064371804
338,310.49223587104154
339,411.0813699221701
340,448.8155797196863
341,448.09573950817816
342,448.5629109237481
343,479.2191313508336
344,563.0516860758544
345,630.4932169539147
346,626.426567754503
347,624.8262159855748
348,617.7378005768942
349,611.1993134992632
350,614.7604883678742
351,619.808748415057
352,623.458380559041
353,626.7839393637097
354,627.6959422617524
355,628.4954938521372
356,626.6697851863165
357,622.4260165081556
358,622.9949422483247
359,623.0255595516453
360,616.8555035819834
361,554.8252092286987
362,337.6478296499355
363,290.10050837900724
364,291.5841227454512
365,250.7998727814219
366,196.07287809853926
367,196.13006462633732
368,195.91385496913648
369,181.6134340453412
370,181.6134340453412
371,181.6282199697661
372,158.87611749431844
373,168.40366053739544
374,120.90588792054241
375,121.82309681521255
376,222.1441632259568
377,224.30805657501733
378,225.752628141293
379,225.9991727870541
380,227.02999886148163
381,225.71045433155842
382,225.4756998102198
383,452.3196921190886
384,585.8681407516947
385,585.1352883358112
386,585.0891708961176
387,583.755149187513
388,582.6116504955422
389,580.5192087285709
390,581.3821671325486
391,580.1624176272368
392,580.5608502723121
393,582.6461133633529
394,583.8602386985411
395,585.0333514489946
396,586.0663107632564
397,587.2619847499268
398,587.9267777811946
399,588.004057956978
400,542.6468010166204
401,188.20903818831832
402,188.6838962779329
403,188.84053094566124
404,183.01172862568583
405,179.17145388871384
406,115.59590150192837
407,113.30812796504443
408,25.870839434579764
409,25.870839434579764
410,25.870839434579764
411,26.03016106234034
412,26.13477198876113
413,25.95971343119577
414,27.747078080552626
415,27.747078080552626
416,27.747078080552626
417,151.08117335048237
418,151.01654044671247
419,202.5082105627644
420,240.56300863697703
421,240.61827841104613
422,240.42653715370358
423,251.21131654130488
424,258.87194490699744
425,258.25438949377616
426,257.05650623026145
427,255.16863557990047
428,255.14754212991107
429,265.56866864367646
430,272.16860657012063
431,269.9586266146059
432,269.75330068764845
433,268.26522416815317
434,270.2143447408496
435,674.0364998148291
436,713.557220560564
437,713.6195155900331
438,713.5767297224678
439,713.689773421367
440,715.5634981390331
441,717.2792540702553
442,717.4486907145829
443,716.7954914150545
444,715.4269875687625
445,715.3499082587492
446,717.7484289729404
447,719.9919615328251
448,720.5213988466184
449,720.5583001792171
450,720.8399758326545
451,721.0553150839385
452,536.0250699027443
453,351.6918741964713
454,346.8974895794496
455,346.9572552680773
456,346.78546179798934
457,346.4017563462716
458,346.4017563462716
459,346.4017563462716
460,279.69193947847424
461,61.554135273471424
462,61.34883198221552
463,92.90886324300276
464,189.55163180138447
465,205.0473202117709
466,204.38285906938458
467,204.3325812043253
468,203.9771503065306
469,204.2457370225222
470,203.2597287971844
471,202.60092833142048
472,202.5352002017859
473,202.8350097335698
474,203.70869390647982
475,203.70869390647982
476,203.86904307557674
477,203.70869390647982
478,203.8074947491637
479,203.9671250920785
480,204.632502098683
481,163.26501178823833
482,129.56152250946585
483,249.8861413050566
484,249.91993870445518
485,793.8736474160953
486,854.4164066128568
487,854.7383789207634
488,854.8501288049794
489,854.8598306154738
490,854.8759401438792
491,854.8888746461697
492,854.9370767567642
493,854.9273894580615
494,854.9563954167247
495,854.966077274283
496,854.966077274283
497,854.9757573179093
498,854.9757573179093
499,855.6146107421922
500,857.3229593097898
501,857.3259505087598
502,644.1328917654866
503,30.046908835269818
504,18.16577981925776
505,19.120062906034825
506,19.120062906034825
507,19.120062906034825
508,23.63107688098249
509,31.26350767551187
510,35.16721654251382
511,35.16721654251382
512,35.16721654251382
513,35.16721654251382
514,35.16721654251382
515,35.16721654251382
516,53.7719502497001
517,78.0495230453742
518,78.02782490005923
519,78.07553695527709
520,78.02782490005923
521,77.71927686242219
522,144.17047671489314
523,144.11324814670164
524,155.57421298067274
525,155.7634107981484
526,156.04465937026632
527,156.25591986252363
528,156.23412928627226
529,156.25591986252363
530,173.4668899633568
531,173.3996997547534
532,177.67723640904597
533,178.46536929804088
534,179.31953952672032
535,179.60244115873647
536,179.27574297239445
537,179.1026761338543
538,179.1026761338543
539,164.83079607775542
540,164.83079607775542
541,156.08958336102543
542,192.34999708258368
543,191.7750451914888
544,192.6034084121305
545,192.6034084121305
546,192.28601972151608
547,182.4055518193516
548,182.3162796167809
549,189.1242117018647
550,188.7929654177085
551,188.9780618233101
552,253.49167990731164
553,280.8149638951427
554,280.8149638951427
555,280.89186333563185
556,280.75188900308
557,280.8149638951427
558,280.7990873735518
559,276.9766185362244
560,277.6385158474005
561,278.6459193922709
562,278.64591939227097
563,278.82470327237183
564,278.1054216337913
565,278.206161942505
566,293.5898609514584
567,292.7072013113433
