dateTime,Heart Rate
01/30/20 14:47:22,52
01/30/20 14:47:27,53
01/30/20 14:47:32,52
01/30/20 14:47:42,51
01/30/20 14:47:57,52
01/30/20 14:48:02,53
01/30/20 14:48:07,52
01/30/20 14:48:12,51
01/30/20 14:48:27,50
01/30/20 14:48:32,51
01/30/20 14:48:42,52
01/30/20 14:48:47,53
01/30/20 14:49:02,53
01/30/20 14:49:12,52
01/30/20 14:49:17,51
01/30/20 14:49:32,51
01/30/20 14:49:42,52
01/30/20 14:49:52,53
01/30/20 14:49:57,52
01/30/20 14:50:02,52
01/30/20 14:50:07,51
01/30/20 14:50:22,52
01/30/20 14:50:37,53
01/30/20 14:50:42,52
01/30/20 14:50:47,51
01/30/20 14:51:02,50
01/30/20 14:51:07,51
01/30/20 14:51:17,52
01/30/20 14:51:32,52
01/30/20 14:51:37,51
01/30/20 14:51:52,51
01/30/20 14:52:07,51
01/30/20 14:52:12,52
01/30/20 14:52:17,53
01/30/20 14:52:22,52
01/30/20 14:52:27,51
01/30/20 14:52:37,50
01/30/20 14:52:52,50
01/30/20 14:53:07,49
01/30/20 14:53:22,50
01/30/20 14:53:27,52
01/30/20 14:53:42,52
01/30/20 14:53:47,51
01/30/20 14:53:53,50
01/30/20 14:54:03,49
01/30/20 14:54:13,50
01/30/20 14:54:18,49
01/30/20 14:54:23,50
01/30/20 14:54:28,54
01/30/20 14:54:33,61
01/30/20 14:54:38,60
01/30/20 14:54:43,57
01/30/20 14:54:48,56
01/30/20 14:55:03,56
01/30/20 14:55:08,54
01/30/20 14:55:13,53
01/30/20 14:55:18,52
01/30/20 14:55:23,51
01/30/20 14:55:38,52
01/30/20 14:55:48,51
01/30/20 14:55:58,52
01/30/20 14:56:03,51
01/30/20 14:56:18,51
01/30/20 14:56:23,50
01/30/20 14:56:28,49
01/30/20 14:56:43,49
01/30/20 14:56:58,50
01/30/20 14:57:13,51
01/30/20 14:57:18,50
01/30/20 14:57:28,49
01/30/20 14:57:33,49
01/30/20 14:57:38,50
01/30/20 14:57:53,49
01/30/20 14:58:08,49
01/30/20 14:58:13,48
01/30/20 14:58:18,50
01/30/20 14:58:33,50
01/30/20 14:58:48,50
01/30/20 14:58:53,51
01/30/20 14:59:08,50
01/30/20 14:59:18,49
01/30/20 14:59:23,48
01/30/20 14:59:38,49
01/30/20 14:59:53,49
01/30/20 15:00:03,48
01/30/20 15:00:18,49
01/30/20 15:00:23,51
01/30/20 15:00:38,51
01/30/20 15:00:53,50
01/30/20 15:01:03,49
01/30/20 15:01:08,48
01/30/20 15:01:13,49
01/30/20 15:01:18,50
01/30/20 15:01:23,49
01/30/20 15:01:38,49
01/30/20 15:01:43,48
01/30/20 15:01:48,50
01/30/20 15:01:53,51
01/30/20 15:01:58,50
01/30/20 15:02:13,50
01/30/20 15:02:23,49
01/30/20 15:02:38,49
01/30/20 15:02:53,50
01/30/20 15:03:03,49
01/30/20 15:03:13,50
01/30/20 15:03:18,51
01/30/20 15:03:23,50
01/30/20 15:03:38,50
01/30/20 15:03:43,49
01/30/20 15:03:48,50
01/30/20 15:03:58,49
01/30/20 15:04:13,50
01/30/20 15:04:18,49
01/30/20 15:04:33,49
01/30/20 15:04:43,50
01/30/20 15:04:48,49
01/30/20 15:04:53,50
01/30/20 15:05:08,49
01/30/20 15:05:18,50
01/30/20 15:05:28,61
01/30/20 15:05:43,69
01/30/20 15:05:48,73
01/30/20 15:05:53,73
01/30/20 15:06:08,73
01/30/20 15:06:13,72
01/30/20 15:06:28,72
01/30/20 15:06:33,73
01/30/20 15:06:38,72
01/30/20 15:06:53,74
01/30/20 15:06:58,75
01/30/20 15:07:03,76
01/30/20 15:07:08,77
01/30/20 15:07:13,78
01/30/20 15:07:28,78
01/30/20 15:07:38,74
01/30/20 15:07:53,74
01/30/20 15:07:58,77
01/30/20 15:08:03,77
01/30/20 15:08:18,77
01/30/20 15:08:33,78
01/30/20 15:08:38,78
01/30/20 15:08:43,77
01/30/20 15:08:48,78
01/30/20 15:09:03,78
01/30/20 15:09:18,79
01/30/20 15:09:28,78
01/30/20 15:09:33,79
01/30/20 15:09:48,82
01/30/20 15:10:03,82
01/30/20 15:10:08,83
01/30/20 15:10:18,82
01/30/20 15:10:23,83
01/30/20 15:10:28,81
01/30/20 15:10:38,80
01/30/20 15:10:43,79
01/30/20 15:10:58,77
01/30/20 15:11:08,76
01/30/20 15:11:13,73
01/30/20 15:11:18,71
01/30/20 15:11:23,70
01/30/20 15:11:28,71
01/30/20 15:11:33,70
01/30/20 15:11:38,69
01/30/20 15:11:43,69
01/30/20 15:11:58,68
01/30/20 15:12:03,66
01/30/20 15:12:08,65
01/30/20 15:12:13,66
01/30/20 15:12:28,66
01/30/20 15:12:33,67
