,Time,Heart Rate
1395,5:29:36,51
1396,5:29:51,51
1397,5:30:01,50
1398,5:30:06,51
1399,5:30:21,51
1400,5:30:22,51
1401,5:30:37,50
1402,5:30:47,51
1403,5:30:52,50
1404,5:31:02,51
1405,5:31:17,50
1406,5:31:32,50
1407,5:31:37,50
1408,5:31:47,53
1409,5:31:52,63
1410,5:31:57,64
1411,5:32:02,60
1412,5:32:07,56
1413,5:32:12,54
1414,5:32:17,52
1415,5:32:22,51
1416,5:32:27,50
1417,5:32:32,49
1418,5:32:47,49
1419,5:32:57,50
1420,5:33:12,49
1421,5:33:27,49
1422,5:33:37,50
1423,5:33:52,49
1424,5:34:07,50
1425,5:34:22,50
1426,5:34:23,50
1427,5:34:28,51
1428,5:34:33,50
1429,5:34:38,49
1430,5:34:53,49
1431,5:35:08,50
1432,5:35:18,51
1433,5:35:33,50
1434,5:35:38,49
1435,5:35:53,49
1436,5:36:08,49
1437,5:36:23,48
1438,5:36:38,48
1439,5:36:43,52
1440,5:36:48,53
1441,5:36:58,52
1442,5:37:08,51
1443,5:37:23,51
1444,5:37:38,51
1445,5:37:48,50
1446,5:37:53,49
1447,5:37:58,50
1448,5:38:08,51
1449,5:38:13,50
1450,5:38:28,50
1451,5:38:43,50
1452,5:38:48,49
1453,5:38:53,49
1454,5:38:58,50
1455,5:39:13,50
1456,5:39:18,51
1457,5:39:23,50
1458,5:39:33,51
1459,5:39:48,51
1460,5:39:58,50
1461,5:40:03,51
1462,5:40:08,50
1463,5:40:13,51
1464,5:40:28,50
1465,5:40:43,50
1466,5:40:48,51
1467,5:40:58,50
1468,5:41:03,51
1469,5:41:13,50
1470,5:41:23,51
1471,5:41:28,49
1472,5:41:43,49
1473,5:41:53,50
1474,5:42:08,50
1475,5:42:18,51
1476,5:42:23,52
1477,5:42:28,51
1478,5:42:33,50
1479,5:42:38,49
1480,5:42:43,49
1481,5:42:58,51
1482,5:43:03,50
1483,5:43:13,49
1484,5:43:28,49
1485,5:43:33,50
1486,5:43:43,49
1487,5:43:53,50
1488,5:44:08,49
1489,5:44:23,49
1490,5:44:38,49
1491,5:44:43,50
1492,5:44:48,49
1493,5:44:53,50
1494,5:45:03,49
1495,5:45:13,50
1496,5:45:28,50
1497,5:45:43,50
1498,5:45:58,50
1499,5:46:13,50
1500,5:46:23,51
1501,5:46:38,51
1502,5:46:43,50
1503,5:46:53,49
1504,5:47:03,50
1505,5:47:08,49
1506,5:47:13,50
1507,5:47:18,50
1508,5:47:23,51
1509,5:47:28,52
1510,5:47:33,57
1511,5:47:43,54
1512,5:47:48,52
1513,5:47:53,51
1514,5:47:58,50
1515,5:48:03,49
1516,5:48:08,48
1517,5:48:13,49
1518,5:48:23,50
1519,5:48:38,50
1520,5:48:53,50
1521,5:49:03,49
1522,5:49:13,50
1523,5:49:28,50
1524,5:49:38,49
1525,5:49:48,50
1526,5:49:58,49
1527,5:50:08,50
1528,5:50:23,50
1529,5:50:38,50
1530,5:50:43,51
1531,5:50:48,50
1532,5:50:58,49
1533,5:51:03,50
1534,5:51:09,50
1535,5:51:24,50
1536,5:51:39,50
1537,5:51:54,50
1538,5:52:09,50
1539,5:52:14,51
1540,5:52:24,50
1541,5:52:39,50
1542,5:52:54,50
1543,5:53:09,49
1544,5:53:24,49
1545,5:53:34,50
1546,5:53:49,50
1547,5:54:04,50
1548,5:54:19,50
1549,5:54:24,51
1550,5:54:39,49
1551,5:54:54,50
1552,5:54:59,49
1553,5:55:14,50
1554,5:55:19,49
1555,5:55:34,50
1556,5:55:49,50
1557,5:56:04,49
1558,5:56:19,49
1559,5:56:24,50
1560,5:56:39,49
1561,5:56:44,49
1562,5:56:49,50
1563,5:56:59,51
1564,5:57:09,50
1565,5:57:24,50
1566,5:57:39,51
1567,5:57:44,50
1568,5:57:59,49
1569,5:58:14,48
1570,5:58:19,49
1571,5:58:29,50
1572,5:58:39,49
1573,5:58:44,48
1574,5:58:59,49
1575,5:59:04,50
1576,5:59:19,50
1577,5:59:34,50
1578,5:59:39,51
1579,5:59:44,50
1580,5:59:54,51
1581,5:59:59,50
1582,6:00:14,50
1583,6:00:29,51
1584,6:00:39,50
1585,6:00:54,49
1586,6:01:04,50
1587,6:01:09,51
1588,6:01:14,51
1589,6:01:19,50
1590,6:01:34,50
1591,6:01:49,50
1592,6:02:04,50
1593,6:02:09,49
1594,6:02:19,50
1595,6:02:34,50
1596,6:02:44,51
1597,6:02:49,50
1598,6:02:54,49
1599,6:02:59,50
1600,6:03:09,49
1601,6:03:24,50
1602,6:03:39,50
1603,6:03:54,50
1604,6:04:09,49
1605,6:04:19,50
1606,6:04:29,49
1607,6:04:39,50
1608,6:04:54,50
1609,6:04:59,50
1610,6:05:14,50
1611,6:05:19,49
1612,6:05:34,49
1613,6:05:35,49
1614,6:05:45,50
1615,6:05:55,52
1616,6:06:00,69
1617,6:06:05,75
1618,6:06:10,71
1619,6:06:15,64
1620,6:06:20,58
1621,6:06:25,55
1622,6:06:30,52
1623,6:06:35,51
1624,6:06:40,50
1625,6:06:55,50
1626,6:07:00,49
1627,6:07:15,50
1628,6:07:30,50
1629,6:07:35,51
1630,6:07:45,50
1631,6:07:50,49
1632,6:07:55,50
1633,6:08:00,49
1634,6:08:15,49
1635,6:08:25,48
1636,6:08:35,49
1637,6:08:50,49
1638,6:08:55,49
1639,6:09:00,50
1640,6:09:15,50
1641,6:09:30,49
1642,6:09:45,50
1643,6:10:00,50
1644,6:10:05,51
1645,6:10:20,50
1646,6:10:35,51
1647,6:10:40,52
1648,6:10:45,53
1649,6:10:50,52
1650,6:10:55,52
1651,6:11:10,53
1652,6:11:25,53
1653,6:11:40,53
1654,6:11:50,54
1655,6:11:55,55
1656,6:12:10,54
1657,6:12:25,53
1658,6:12:35,52
1659,6:12:50,53
1660,6:12:55,55
1661,6:13:00,56
1662,6:13:05,57
1663,6:13:10,58
1664,6:13:15,57
1665,6:13:20,57
1666,6:13:35,56
1667,6:13:50,56
1668,6:13:55,55
1669,6:14:00,53
1670,6:14:10,55
1671,6:14:15,57
1672,6:14:20,58
1673,6:14:25,61
1674,6:14:30,63
1675,6:14:35,60
1676,6:14:40,56
1677,6:14:45,52
1678,6:14:50,51
1679,6:15:05,51
1680,6:15:10,52
1681,6:15:20,53
1682,6:15:25,54
1683,6:15:40,55
1684,6:15:45,54
1685,6:15:50,55
1686,6:15:55,54
1687,6:16:10,54
1688,6:16:15,53
1689,6:16:30,53
1690,6:16:40,52
1691,6:16:45,52
1692,6:16:50,52
1693,6:17:00,55
1694,6:17:05,57
1695,6:17:10,57
1696,6:17:15,56
1697,6:17:20,54
1698,6:17:35,54
1699,6:17:50,54
1700,6:18:05,54
1701,6:18:10,53
1702,6:18:15,54
1703,6:18:25,53
1704,6:18:30,54
1705,6:18:45,54
1706,6:19:00,54
1707,6:19:15,54
1708,6:19:25,53
1709,6:19:35,54
1710,6:19:40,53
1711,6:19:55,52
1712,6:20:00,51
1713,6:20:05,50
1714,6:20:20,51
1715,6:20:35,52
1716,6:20:50,51
1717,6:20:55,50
1718,6:21:10,51
1719,6:21:15,51
1720,6:21:30,52
1721,6:21:45,52
1722,6:21:50,51
1723,6:21:55,52
1724,6:22:10,52
1725,6:22:25,52
1726,6:22:30,53
1727,6:22:45,53
1728,6:22:55,53
1729,6:23:10,53
1730,6:23:25,53
1731,6:23:30,52
1732,6:23:45,52
1733,6:23:50,54
1734,6:23:55,55
1735,6:24:05,54
1736,6:24:10,53
1737,6:24:25,53
1738,6:24:30,52
1739,6:24:35,51
1740,6:24:45,52
1741,6:24:50,51
1742,6:25:00,52
1743,6:25:15,52
1744,6:25:16,53
1745,6:25:21,52
1746,6:25:31,51
1747,6:25:46,52
1748,6:25:56,53
1749,6:26:11,53
1750,6:26:26,51
1751,6:26:31,50
1752,6:26:41,51
1753,6:26:46,53
1754,6:26:51,51
1755,6:26:56,50
1756,6:27:06,51
1757,6:27:16,52
1758,6:27:21,53
1759,6:27:26,54
1760,6:27:31,52
1761,6:27:36,51
1762,6:27:46,50
1763,6:27:56,49
1764,6:28:11,50
1765,6:28:26,50
1766,6:28:31,51
1767,6:28:41,50
1768,6:28:56,50
1769,6:29:06,51
1770,6:29:11,52
1771,6:29:16,52
1772,6:29:26,50
1773,6:29:36,49
1774,6:29:46,50
1775,6:29:51,49
1776,6:29:56,50
1777,6:30:11,51
1778,6:30:16,50
1779,6:30:31,49
1780,6:30:36,50
1781,6:30:51,50
1782,6:30:56,51
1783,6:31:01,50
1784,6:31:06,49
1785,6:31:16,50
1786,6:31:21,51
1787,6:31:36,51
1788,6:31:46,52
1789,6:31:56,51
1790,6:32:11,51
1791,6:32:21,55
1792,6:32:26,63
1793,6:32:31,64
1794,6:32:36,62
1795,6:32:41,57
1796,6:32:46,53
1797,6:32:55,51
1798,6:33:00,50
1799,6:33:15,49
1800,6:33:30,49
1801,6:33:45,48
1802,6:33:50,49
1803,6:33:55,48
1804,6:34:10,48
1805,6:34:15,50
1806,6:34:20,49
1807,6:34:30,48
1808,6:34:40,49
1809,6:34:55,49
1810,6:35:00,47
1811,6:35:15,47
1812,6:35:20,49
1813,6:35:35,49
1814,6:35:45,50
1815,6:35:50,49
1816,6:36:05,49
1817,6:36:20,49
1818,6:36:35,49
1819,6:36:45,49
1820,6:36:51,49
1821,6:37:06,48
1822,6:37:21,49
1823,6:37:36,49
1824,6:37:41,48
1825,6:37:51,49
1826,6:38:06,48
1827,6:38:21,48
1828,6:38:36,47
1829,6:38:51,47
1830,6:39:01,47
1831,6:39:16,47
1832,6:39:21,47
1833,6:39:36,47
1834,6:39:46,49
1835,6:40:01,49
1836,6:40:06,50
1837,6:40:11,49
1838,6:40:21,48
1839,6:40:31,49
1840,6:40:36,48
1841,6:40:51,48
1842,6:41:06,48
1843,6:41:10,47
1844,6:41:15,48
1845,6:41:30,48
1846,6:41:45,49
1847,6:41:55,48
1848,6:42:10,47
1849,6:42:25,48
1850,6:42:30,49
1851,6:42:45,48
1852,6:42:50,49
1853,6:42:55,50
1854,6:43:00,49
1855,6:43:10,48
1856,6:43:15,49
1857,6:43:30,48
1858,6:43:40,47
1859,6:43:55,47
1860,6:44:10,48
1861,6:44:25,48
1862,6:44:35,49
1863,6:44:50,48
1864,6:45:00,49
1865,6:45:10,48
1866,6:45:15,47
1867,6:45:30,47
1868,6:45:35,48
1869,6:45:45,47
1870,6:45:50,48
1871,6:46:05,48
1872,6:46:10,49
1873,6:46:25,49
1874,6:46:35,48
1875,6:46:45,49
1876,6:46:50,48
1877,6:46:55,47
1878,6:47:10,47
1879,6:47:15,48
1880,6:47:25,47
1881,6:47:35,48
1882,6:47:45,49
1883,6:47:50,50
1884,6:47:55,49
1885,6:48:10,49
1886,6:48:25,49
1887,6:48:30,48
1888,6:48:45,48
1889,6:49:00,47
1890,6:49:05,48
1891,6:49:15,49
1892,6:49:20,48
1893,6:49:35,49
1894,6:49:50,49
1895,6:49:55,50
1896,6:50:00,49
1897,6:50:06,49
1898,6:50:16,48
1899,6:50:21,49
1900,6:50:26,48
1901,6:50:36,49
1902,6:50:41,48
1903,6:50:46,48
1904,6:51:01,49
1905,6:51:11,57
1906,6:51:16,58
1907,6:51:26,59
1908,6:51:31,58
1909,6:51:36,59
1910,6:51:46,62
1911,6:52:01,62
1912,6:52:06,63
1913,6:52:11,64
1914,6:52:16,66
1915,6:52:31,66
1916,6:52:36,66
1917,6:52:46,67
1918,6:52:51,68
1919,6:52:56,67
1920,6:53:11,68
1921,6:53:26,68
1922,6:53:36,67
1923,6:53:41,67
1924,6:53:46,68
1925,7:20:30,70
1926,7:20:40,69
1927,7:20:45,66
1928,7:20:50,65
1929,7:20:55,61
1930,7:21:05,67
1931,7:21:10,64
1932,7:21:15,63
1933,7:21:30,63
1934,7:21:45,62
1935,7:21:50,61
1936,7:22:00,58
1937,7:22:05,54
1938,7:22:10,53
1939,7:22:15,52
1940,7:22:30,52
1941,7:22:35,51
1942,7:22:40,50
1943,7:22:50,51
1944,7:22:55,50
1945,7:23:05,49
1946,7:23:10,50
1947,7:23:25,49
1948,7:23:30,50
1949,7:23:45,50
1950,7:23:50,49
1951,7:24:05,49
1952,7:24:10,48
1953,7:24:20,49
1954,7:24:25,50
1955,7:24:40,49
1956,7:24:55,49
1957,7:25:00,50
1958,7:25:05,51
1959,7:25:15,53
1960,7:25:20,52
1961,7:25:25,51
1962,7:25:30,50
1963,7:25:35,49
1964,7:25:50,49
1965,7:25:55,50
1966,7:26:10,51
1967,7:26:20,50
1968,7:26:25,49
1969,7:26:35,50
1970,7:26:40,49
1971,7:26:45,50
1972,7:26:55,49
1973,7:27:00,50
1974,7:27:05,51
1975,7:27:20,50
1976,7:27:35,49
1977,7:27:50,49
1978,7:27:55,48
1979,7:28:00,48
1980,7:28:10,49
1981,7:28:25,49
1982,7:28:40,48
1983,7:28:45,49
1984,7:28:50,50
1985,7:29:00,49
1986,7:29:05,50
1987,7:29:15,51
1988,7:29:20,50
1989,7:29:35,49
1990,7:29:45,51
1991,7:29:55,50
1992,7:30:00,49
1993,7:30:05,50
1994,7:30:10,51
1995,7:30:25,50
1996,7:30:35,49
1997,7:30:40,48
1998,7:30:45,49
1999,7:31:00,49
2000,7:31:15,50
2001,7:31:30,49
2002,7:31:45,49
2003,7:32:00,49
2004,7:32:15,50
2005,7:32:30,49
2006,7:32:35,50
2007,7:32:45,49
2008,7:33:00,48
2009,7:33:05,49
2010,7:33:15,50
2011,7:33:30,49
2012,7:33:35,49
2013,7:33:45,49
2014,7:33:55,50
2015,7:34:00,51
2016,7:34:10,52
2017,7:34:15,51
2018,7:34:30,50
2019,7:34:45,51
2020,7:34:50,52
2021,7:35:00,53
2022,7:35:15,54
2023,7:35:30,55
2024,7:35:45,55
2025,7:35:55,56
2026,7:36:05,55
2027,7:36:15,54
2028,7:36:30,54
2029,7:36:45,54
2030,7:37:00,54
2031,7:37:05,55
2032,7:37:15,54
2033,7:37:20,54
2034,7:37:25,55
2035,7:37:40,54
2036,7:37:50,53
2037,7:38:05,54
2038,7:38:10,53
2039,7:38:25,54
2040,7:38:40,54
2041,7:38:55,54
2042,7:39:10,55
2043,7:39:25,55
2044,7:39:30,54
2045,7:39:35,53
2046,7:39:50,53
2047,7:40:05,54
2048,7:40:20,54
2049,7:40:30,56
2050,7:40:35,57
2051,7:40:40,55
2052,7:40:45,53
2053,7:41:00,53
2054,7:41:15,54
2055,7:41:20,53
2056,7:41:35,54
2057,7:41:45,55
2058,7:42:00,55
2059,7:42:15,55
2060,7:42:20,55
2061,7:42:25,54
2062,7:42:40,55
2063,7:42:55,55
2064,7:43:00,56
2065,7:43:05,55
2066,7:43:15,56
2067,7:43:20,57
2068,7:43:25,56
2069,7:43:30,57
2070,7:43:35,60
2071,7:43:40,73
2072,7:43:45,75
2073,7:43:50,72
2074,7:43:55,67
2075,7:44:00,62
2076,7:44:05,57
2077,7:44:10,56
2078,7:44:15,54
2079,7:44:25,53
2080,7:44:35,54
2081,7:44:50,54
2082,7:45:00,54
2083,7:45:15,54
2084,7:45:20,53
2085,7:45:26,52
2086,7:45:36,53
2087,7:45:51,53
2088,7:46:06,53
2089,7:46:11,54
2090,7:46:26,54
2091,7:46:31,55
2092,7:46:36,54
2093,7:46:51,53
2094,7:47:06,53
2095,7:47:21,53
2096,7:47:36,52
2097,7:47:46,51
2098,7:47:51,52
2099,7:48:01,53
2100,7:48:16,53
2101,7:48:31,53
2102,7:48:46,53
2103,7:49:01,52
2104,7:49:06,51
2105,7:49:21,52
2106,7:49:31,53
2107,7:49:36,54
2108,7:49:51,54
2109,7:49:56,53
2110,7:50:11,53
2111,7:50:26,53
2112,7:50:31,53
2113,7:50:46,52
2114,7:51:01,52
2115,7:51:16,52
2116,7:51:26,53
2117,7:51:41,53
2118,7:51:46,50
2119,7:51:56,51
2120,7:52:01,52
2121,7:52:16,52
2122,7:52:31,52
2123,7:52:46,52
2124,7:53:01,52
2125,7:53:11,54
2126,7:53:26,54
2127,7:53:41,53
2128,7:53:46,51
2129,7:53:51,50
2130,7:53:56,51
2131,7:54:01,50
2132,7:54:16,50
2133,7:54:31,50
2134,7:54:37,50
2135,7:54:42,49
2136,7:54:52,50
2137,7:54:57,51
2138,7:55:02,52
2139,7:55:17,51
2140,7:55:22,50
2141,7:55:32,51
2142,7:55:47,51
2143,7:55:57,52
2144,7:56:07,53
2145,7:56:17,52
2146,7:56:32,52
2147,7:56:42,51
2148,7:56:52,51
2149,7:56:57,51
2150,7:57:12,51
2151,7:57:27,51
2152,7:57:37,52
2153,7:57:42,53
2154,7:57:57,52
2155,7:58:12,53
2156,7:58:27,52
2157,7:58:42,51
2158,7:58:57,51
2159,7:59:07,52
2160,7:59:22,52
2161,7:59:27,52
2162,7:59:32,53
2163,7:59:47,53
